,date,title,source,contents,link
3591,2019.09.18.,DGB대구은행·핀크… DGB-핀크 비상금대출 출시,경북신문,DGB대구은행이 핀테크 전문기업 핀크와 손잡고 모바일 신용대출 신상품 'DGB-핀크 비상금대출'을 출시했다.18일 대구은행에 따르면 핀크 앱으로 신청 및 약정할 수 있는 ‘DGB-핀크 비상금대출’은 365일·24시간 휴대폰...,http://www.kbsm.net/default/index_view_page.php?idx=255378&part_idx=326
3592,2019.09.18.,'DGB-핀크 비상금대출' 출시,대경일보,"DGB대구은행은 핀테크 전문기업 핀크와 손잡고 모바일 신용대출 신상품 'DGB-핀크 비상금대출' 출시, 판매한다고 밝혔다. 핀크 앱으로 신청 및 약정할 수 있는 'DGB-핀크 비상금대출'은 365일·24시간 휴대폰 본인...",http://www.dkilbo.com/news/articleView.html?idxno=192076
3593,2019.09.18.,침산생활권의 완성 ‘대구역오페라W’ 1088세대 10월중 분양,뉴스웨이,"◇올하반기, 고성동1가 4,000여세대 분양예정, 거대 침산권 도심확장중 수성범어 에일린의뜰(719세대), 동대구 에일린의뜰(705세대), 수성범어W(1,868세대)를 성공적으로 분양한 아이에스동서가 DGB대구은행파크 남쪽...",http://www.newsway.co.kr/news/view?tp=1&ud=2019091819132144437
3594,2019.09.18.,"대구銀, 핀크와 손잡고 모바일 신용대출 선봬",경북도민일보,"DGB대구은행은 핀테크 전문기업 핀크와 손잡고 모바일 신용대출 신상품 'DGB-핀크 비상금대출' 출시, 판매한다고 18일 밝혔다. 핀크 앱으로 신청 및 약정할 수 있는 'DGB-핀크 비상금대출'은 365일·24시간 휴대폰 본인...",http://www.hidomin.com/news/articleView.html?idxno=400341
3595,2019.09.18.,"신창무, 상주 전역 후 대구FC 복귀...""활력 불어넣을 것""",인터풋볼,지난 17일(화) 1년 8개월간의 군복무를 마치고 대구에 복귀한 신창무는 새로운 보금자리인 DGB대구은행파크와 스카이 포레스트를 방문해 코칭스태프 및 대구 관계자와 인사를 나눈 뒤 곧바로 팀 훈련에 합류...,http://www.interfootball.co.kr/news/articleView.html?idxno=326254
3596,2019.09.18.,"대구은행, 핀테크 기업 핀크와 '핀크 비상금 대출' 서비스",업다운뉴스,"핀테크 전문 기업 '핀크'가 DGB대구은행과 함께 급할 때 낮은 금리와 높은 한도로 간편하게 빌릴 수 있는 '핀크 비상금 대출' 서비스를 출시한다. 핀크 비상금 대출 서비스는 상환 능력이 있어도 사회초년생이거나, 금융...",http://www.updownnews.co.kr/news/articleView.html?idxno=208633
3597,2019.09.18.,"핀크, DGB대구은행과 '핀크 비상금 대출' 출시…최대 300만원",뉴시스,"핀테크 전문 기업 핀크(Finnq)가 DGB대구은행과 함께 ‘핀크 비상금 대출’ 서비스를 출시한다고 18일 밝혔다. 핀크 비상금 대출 서비스는 상환 능력이 있어도 사회초년생이거나, 금융 이력 등의 부족으로 신용등급이 낮아...",http://www.newsis.com/view/?id=NISX20190918_0000773319&cID=13001&pID=13000
3598,2019.09.18.,"""비상금 대출, 모바일에서 간편하게"" 핀크, 1금융권 상품 출시",이데일리,"모바일 핀테크 서비스 ‘핀크’는 DGB대구은행과 함께 급할 때 낮은 금리와 높은 한도로 간편하게 빌릴 수 있는 ‘핀크 비상금 대출’ 서비스를 18일 선보였다. 이 서비스는 상환 능력이 있어도 사회초년생이거나, 금융...",http://www.edaily.co.kr/news/newspath.asp?newsid=03444006622621432
3599,2019.09.18.,"[금융 단신] DGB대구은행, ‘DGB-핀크 비상금대출’ 출시",쿠키뉴스,"DGB대구은행은 핀테크 전문기업 핀크와 손잡고 모바일 신용대출 신상품 ‘DGB-핀크 비상금대출’을 출시한다고 18일 밝혔다. 핀크 앱으로 신청 및 약정할 수 있는 ‘DGB-핀크 비상금대출’은 365일, 24시간 휴대폰 본인...",http://www.kukinews.com/news/article.html?no=701932
3600,2019.09.18.,"'전역' 대구 미드필더 신창무 ""팀에 활력 불어넣겠다""",스포츠서울,"1년 8개월간의 군복무를 마치고 대구에 복귀한 신창무는 새로운 보금자리인 DGB대구은행파크와 스카이 포레스트를 방문해 코칭스태프 및 대구 관계자와 인사를 나눈 뒤 곧바로 팀 훈련에 합류, 선수들과 호흡을...",http://www.sportsseoul.com/news/read/820488
3601,2019.09.18.,"산업은행, 중기에 가장 싸게 돈 빌려줘..기업은행은 오히려 높은 편",글로벌이코노믹,"산업은행 다음으로는 DGB대구은행과 NH농협은행이 각각 연 3.46%로 금리가 낮았다. 중소기업 지원을 표방하는 기업은행의 평균금리는 3.71%로 11위에 그쳤다. 보증서 이외에 부동산이나 유가증권, 동산 등을 담보로 취급된...",http://www.g-enews.com/ko-kr/news/article/news_all/201909181616455557da878e5c53_1/article.html
3602,2019.09.18.,"[AT 픽업] 대구은행, 'DGB-핀크 비상금대출' 출시",아시아타임즈,/사진제공=DBG대구은행 DGB대구은행은 핀테크 전문기업 핀크와 손잡고 모바일 신용대출 신상품 'DGB-핀크 비상금대출' 출시했다고 18일 밝혔다. 핀크 앱으로 신청 및 약정할 수 있는 'DGB-핀크 비상금대출'은 365일·24시간...,http://www.asiatime.co.kr/news/articleView.html?idxno=271059
3603,2019.09.18.,"대구, 김선민-김동진에 이은 또 다른 원군 신창무 합류",스포츠조선,"앞으로도 좋은 모습만 보여드릴 수 있게 노력하겠다""고 밝혔다. 대구는 오는 28일 홈 DGB대구은행파크에서 제주 유나이티드와 홈경기를 벌인다. 이 경기에서 신창무의 전역 환영 행사를 실시할 예정이다. 김 용 기자",http://sports.chosun.com/news/ntype.htm?id=201909180100124330008490&servicedate=20190918
3604,2019.09.18.,[게시판] 대구은행 'DGB-핀크 비상금대출' 출시,연합뉴스,"▲ DGB대구은행은 스마트폰 본인 인증과 지문(생체) 인증만으로 대출한도·금리를 조회하고 약정하는 'DGB-핀크 비상금대출' 상품을 출시한다. 대출한도는 최대 300만원, 대출금리는 최저 연 3.14% 수준으로...",http://yna.kr/AKR20190918126600053?did=1195m
3605,2019.09.18.,"대구은행, 모바일 신용대출 신상품 출시",대구일보,DGB대구은행이 핀테크 전문기업 핀크와 손잡고 모바일 신용대출 신상품 ‘DGB-핀크 비상금대출’ 출시했다.DGB대구은행이 모바일 신용대출 신상품 ‘DGB-핀크 비상금대출’을 판매한다. 핀테크 전문기업 핀크와 함께...,http://www.idaegu.com/newsView/idg201909180038
3606,2019.09.18.,"대구銀·핀크, 8등급도 가능한 모바일 신용대출 출시",연합인포맥스,김예원 송하린 기자 = DGB대구은행이 핀테크 기업 핀크와 함께 신용등급 8등급인 소비자도 신청할 수 있는 모바일 신용대출상품을 출시한다고 18일 밝혔다. 이번에 출시한 'DGB-핀크 비상금대출'은 나이스평가정보의...,http://news.einfomax.co.kr/news/articleView.html?idxno=4048430
3607,2019.09.18.,"DGB대구은행-핀크, 'DGB-핀크 비상금대출' 출시",매일일보,사진=DGB대구은행  DGB대구은행은 핀테크 전문기업 핀크와 손잡고 모바일 신용대출 신상품 'DGB-핀크 비상금대출'을 출시해 판매한다고 18일 밝혔다. 핀크 앱으로 신청 및 약정할 수 있는 'DGB-핀크 비상금대출'은 365일...,http://www.m-i.kr/news/articleView.html?idxno=638995
